Transaction Index,Actual Label,Risk Score,Risk Level,AML Pattern,Recommendation,Explanation
5077697,1,0.9997,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | 15 unique receivers. | Sender deviation 39.7x. | Receiver deviation 44.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3754521,1,0.9996,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 21.9x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
5077604,1,0.9994,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | High-value transaction. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2178572,1,0.9988,CRITICAL,Fan-Out Layering,Freeze account and escalate immediately.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | High-value transaction. | 20 unique receivers. | Sender deviation 59.5x. | Receiver deviation 9.3x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
5078097,0,0.9983,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | High-value transaction. | Sender deviation 5.7x. | Receiver deviation 19.2x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3166564,1,0.9977,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | Rapid transactions within 5 minutes. | Multiple transactions within 10 minutes. | High-value transaction. | Sender deviation 47.5x. | Receiver deviation 6.7x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3202649,1,0.9975,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | 21 unique receivers. | Sender deviation 118.4x. | Receiver deviation 25.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2427810,1,0.9967,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | 17 unique receivers. | Sender deviation 25.7x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2014631,1,0.9924,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 7.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2220325,1,0.9909,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 23.8x. | Receiver deviation 56.7x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2810052,1,0.9819,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 63.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
3445325,0,0.9818,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 22.6x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
2194532,1,0.9805,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Sender deviation 4.0x. | Receiver deviation 35.9x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
559545,1,0.979,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 6.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
4972014,1,0.9737,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 18.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
827902,1,0.9734,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 8.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
405384,1,0.9681,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,Cross-bank transfer detected. | High-value transaction. | Receiver deviation 69.6x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
1984525,1,0.9627,CRITICAL,Large Value Transfer,Freeze account and escalate immediately.,High-value transaction. | Sender deviation 8.9x. | Receiver deviation 40.0x. | Large cumulative daily transfer amount. | Isolation Forest flagged anomaly.
